Malzeme,Malzeme Açıklaması,Satınalma Açık.,Dönem Başı Miktar,Dönem Başı Tutar,Dönem Giriş Miktar,Dönem Giriş Tutar,Dönem Çıkış Miktar,Dönem Çıkış Tutar,Dönem Miktar,Dönem Tutar,Dönem Sonu Miktar,Dönem Sonu Tutar,Marka,depo
52C0672,KHS 63/45-1200-RH HİD.SİL-H0419,16903077-AKYAPAK-H0419,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0673,KHS 40/22-220  HİDROLİK SİLİNDİR-H0432,16900087-AKYAPAK-H0432,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0674,KHS 40/22-325+ÖEBK HİDROLİK SİLİNDİR-H0551,16900133-AKYAPAK-H0551,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0705,KHS 40/22 *160 HİDROLİK SİLİNDİR MAG,16900065,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0768,KHS 80/56*1800+OEB+ÖEBK HİD.SİL. MAG,ÇMS - 16905084,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0769,KHS 160/130*700+ÖFB HİD.SİLİNDİR MAG,30018765,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0770,KHS 40/28*200+AEB+ÖEBK HİD.SİLİNDİR MAG,ÇMS - 16900135,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0771,KHS 80/56*3000+OEB+ÖEBK HİD.SİL. MAG,ÇMS - 16905092,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0772,KHS 80/56*1600+AEB+ÖEBK HİD.SİLİNDİR MAG,ÇMS - 16905093,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0773,KHS 100/70*1000+ÖFB+ÖEBK HİD.SİL. MAG,ÇMS - 16907113,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0774,KHS 80/56*900+ÖFB HİD.SİLİNDİR MAG,ÇMS - 16905094,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
52C0775,KHS 40/28*100+AEB+ÖEBK HİD.SİLİNDİR MAG,16900209,0,0,0,0,0,0,0,0,0,0,MAG,BURSA
